ars_number,ars_description
13-1808, Presumptions relating to issuing a bad check; proof of presentation; nonpayment; protest; notice
13-1809, Jurisdiction; restitution; fees; deferred prosecution
13-1810, Deferred prosecution of bad check cases
13-1811, County bad check trust fund; use of fund
13-1812, Bank records; subpoenas; affidavit of dishonor; affidavit of loss
13-1813, Unlawful failure to return a motor vehicle subject to a security interest; notice; classification
13-1814, Theft of means of transportation; affidavit; classification
13-1815, Unlawful use of power of attorney; classification
13-1816," Unlawful use, possession or removal  of theft detection shielding devices; classification; definition"
13-1817," Unlawful possession, use or alteration of a retail sales receipt or universal product code label; classification; definition"
13-1818, Misappropriation of charter school monies; violation; classification
13-1819, Organized retail theft; classification 
13-1820, Theft of trade secrets; classification; definition
13-1901, Definitions
13-1902, Robbery; classification
13-1903, Aggravated robbery; classification
13-1904, Armed robbery; classification
13-2001, Definitions
13-2002, Forgery; classification
13-2003, Criminal possession of a forgery device; classification
13-2004, Criminal simulation; classification
13-2005, Obtaining a signature by deception; classification
13-2006, Criminal impersonation; classification
13-2007, Unlawful use of slugs; classification
13-2008, Taking identity of another person or entity; classification
13-2009, Aggravated taking identity of another person or entity; knowingly accepting the identity of another person; classification
13-2010, Trafficking in the identity of another person or entity; classification
13-2011, Admission tickets; fraudulent creation or possession; classification
13-2101, Definitions
13-2102, Theft of a credit card or obtaining a credit card by fraudulent means; classification
13-2103, Receipt of anything of value obtained by fraudulent use of a credit card; classification
13-2104, Forgery of credit card; classification
13-2105, Fraudulent use of a credit card; classification
13-2106," Possession of machinery, plate or other contrivance or incomplete credit card; classification"
13-2107, False statement as to financial condition or identity; classification
13-2108, Fraud by person authorized to provide goods or services; classification
13-2109, Credit card transaction record theft; classification
13-2110, Unlawful possession or use of scanning device or reencoder; classification
13-2201, Definitions
13-2202, Deceptive business practices; classification
13-2203, False advertising; classification
13-2204, Defrauding secured creditors; definition; classification
13-2205, Defrauding judgment creditors; classification
13-2206, Fraud in insolvency; classification
13-2207, Receiving deposits in an insolvent financial institution; classification
13-2208, Usury; classification
13-2301, Definitions
13-2301; Version 2, Definitions
13-2302, Making extortionate extensions of credit; classification
13-2303, Financing extortionate extensions of credit
13-2304, Collection of extensions of credit by extortionate means
13-2305, Permissible inferences
13-2306, Possession of altered property; classification
13-2307, Trafficking in stolen property; classification
13-2308, Participating in or assisting a criminal syndicate; classification
13-2308.01, Terrorism; classification
13-2308.02, Making a terrorist threat; false reporting of terrorism; liability for expenses; classification; definitions
13-2308.03, Unlawful use of infectious biological substance or radiological agent; classification; definitions
13-2309," Bribery of participants in professional or amateur games, sports, horse races, dog races, contests; classification"
13-2310, Fraudulent schemes and artifices; classification; definition
13-2311, Fraudulent schemes and practices; wilful concealment; classification
13-2312, Illegal control of an enterprise; illegally conducting an enterprise; classification
13-2313, Judicial powers over racketeering criminal cases
13-2314, Racketeering; civil remedies by this state; definitions
13-2314.01, Anti-racketeering revolving fund; use of monies; reports; audit
13-2314.02, Racketeering lien; content; filing; notice; effect
13-2314.03, County anti-racketeering revolving fund; use of fund; reports
13-2314.04, Racketeering; unlawful activity; civil remedies by private cause of action; definitions
13-2315, Racketeering; investigation of records; confidentiality; court enforcement; immunity; classification
13-2316, Computer tampering; venue; forfeiture; classification
13-2316.01, Unlawful possession of an access device; classification
13-2316.02, Unauthorized release of proprietary or confidential computer security information; exceptions; classification
13-2317, Money laundering; classification; definitions
13-2318, Civil judgments; injury to the state
13-2319, Smuggling; classification; definitions 
13-2320, Residential mortgage fraud; classification; definitions
13-2321, Participating in or assisting a criminal street gang; classification
13-2322, Unlawful transactions involving drop house properties; classification; definition
13-2323, Participating in or assisting a human smuggling organization; classification
13-2401, Personal information on the world wide web; exception; classification; definitions
13-2402, Obstructing governmental operations; classification
13-2403, Refusing to aid a peace officer; classification
13-2404, Refusing to assist in fire control; classification
13-2405, Compounding; classification
13-2406, Impersonating a public servant; classification; definition 
13-2407, Tampering with a public record; classification
13-2408, Securing the proceeds of an offense; classification
13-2409, Obstructing criminal investigations or prosecutions; classification
13-2410, Obstructing officer from collecting public money; classification
13-2411, Impersonating a peace officer; classification; definition
13-2412, Refusing to provide truthful name when lawfully detained; classification
13-2501, Definitions
13-2502, Escape in the third degree; classification
13-2503, Escape in the second degree; classification
13-2504, Escape in the first degree; classification
13-2505, Promoting prison contraband; exceptions; x-radiation; body scans; classification
13-2506, Failure to appear in the second degree; classification
13-2507, Failure to appear in the first degree; classification
13-2508, Resisting arrest; classification; definition
13-2509," Resisting an order directing, regulating or controlling motor vehicle; classification"
13-2510, Hindering prosecution; definition
13-2511, Hindering prosecution in the second degree; classification
13-2512, Hindering prosecution in the first degree; classification 
13-2513, Failure to discharge duties; classification; definition
13-2514, Promoting secure care facility contraband; classifications
13-2601, Definition
13-2602, Bribery of a public servant or party officer; classification
13-2603, Trading in public office; classification
13-2604, Forfeiture and disqualification from office
13-2605, Commercial bribery; classification; exception
13-2606, Offer to exert improper influence on public officer or employee for consideration; classification
13-2701, Definitions
13-2702, Perjury; classification
13-2703, False swearing; classification
13-2704, Unsworn falsification; classification
13-2705, Perjury by inconsistent statements
13-2706, Limitation on defenses
13-2707, Proof of guilt
13-2801, Definitions
13-2802, Influencing a witness; classification
13-2803, Receiving a bribe by a witness; classification
13-2804, Tampering with a witness; classification
13-2805, Influencing a juror; classification
13-2806, Receiving a bribe by a juror; classification
13-2807, Jury tampering; classification
13-2808, Misconduct by a juror; classification
13-2809, Tampering with physical evidence; classification
13-2810, Interfering with judicial proceedings; classification
13-2812, Unlawful grand jury disclosure; classification
13-2813," Unlawful disclosure of an indictment, information or complaint; classification"
13-2814, Simulating legal process; classification
13-2901, Definitions
13-2902, Unlawful assembly; classification
13-2903, Riot; classification
13-2904, Disorderly conduct; classification
13-2905, Loitering; classification
13-2906, Obstructing a highway or other public thoroughfare; classification; definition 
13-2907, False reporting; emergency response costs; classification; definitions
13-2907.01, False reporting to law enforcement agencies; classification
13-2907.02, False reporting of child abuse or neglect; classification
13-2907.03, False reporting of sexual assault involving a spouse; classification
13-2907.04, False reporting of vulnerable adult abuse; classification
13-2907.05, False reporting of an offense involving corrections or probation employees; classification
13-2908, Criminal nuisance; classification
13-2909, Residential picketing; classification
13-2910, Cruelty to animals; interference with working or service animal; classification; definitions
13-2910.01, Animal fighting; classification
13-2910.02, Presence at animal fight; classification
13-2910.03, Cockfighting; classification
13-2910.04, Presence at cockfight; classification
13-2910.05, Exempt activities
13-2910.06, Defense to cruelty to animals and bird fighting
13-2910.07, Cruel and inhumane confinement of a pig during pregnancy or of a calf raised for veal
13-2910.08, The humane treatment of farm animals fund
13-2910.09, Equine tripping; classification; definitions 
13-2911, Interference with or disruption of an educational institution; violation; classification; definitions
13-2912, Unlawful introduction of disease or parasite; classification
13-2913, Unlawful violation of fire ban; classification
13-2914, Aggressive solicitation; classification; definitions
13-2915, Preventing use of telephone in emergency; false representation of emergency; classification; definitions
13-2916," Use of an electronic communication to terrify, intimidate, threaten or harass; applicability; classification; definition"
13-2917, Public nuisance; abatement; classification
13-2918, Interference with emergency transmission on citizens' band radio frequency; presumption; definition; classification
13-2919, Automated telephone solicitation; violation; classification
13-2920, Advertisements and required preamble message for telephone information services; telecommunications corporation compensation; definitions; classification
13-2921, Harassment; classification; definition
13-2921.01, Aggravated harassment; classification; definition
13-2922, Interference with transmissions on public safety land mobile radio frequencies; classification; definitions
13-2923, Stalking; classification; exceptions; definitions
13-2924, Unlawful solicitation of tort victims; classification; definitions
13-2926, Abandonment or concealment of a dead body; classification
13-2927, Unlawful feeding of wildlife; classification
13-2928," Unlawful stopping to hire and pick up passengers for work; unlawful application, solicitation or employment; classification; definitions"
13-2929," Unlawful transporting, moving, concealing, harboring or shielding of unlawful aliens; vehicle impoundment; exception; classification "
13-2930, Unlawful funeral or burial protest activities; classification; definition
13-3001, Definitions
13-3002, False or forged messages; classification
13-3003," Opening, reading or publishing sealed letter of another without authority; classification"
13-3004, Sending threatening or anonymous letter; classification
13-3005," Interception of wire, electronic and oral communications; installation of pen register or trap and trace device; classification; exceptions"
13-3006, Divulging communication service information; classification; exception
13-3008, Possession of interception devices; classification
13-3009, Duty to report to law enforcement officers; classification
13-3010, Ex parte order for interception; definition
13-3011, Disclosing confidential information relating to ex parte order; exceptions; classification
13-3012, Exemptions
13-3013, Defenses
13-3014, Communication service provider; right to compensation
13-3015, Emergency interception
13-3016," Stored oral, wire and electronic communications; agency access; backup preservation; delayed notice; records preservation request; violation; classification"
13-3017, Ex parte order for pen register or trap and trace device
13-3018, Communication service records; subpoenas; application; certification; definition
13-3019," Surreptitious photographing, videotaping, filming or digitally recording or viewing; exemptions; classification; definitions"
13-3101, Definitions
13-3102, Misconduct involving weapons; defenses; classification; definitions
13-3102.01, Storage of deadly weapons; definitions
13-3103, Misconduct involving explosives; classification
13-3104, Depositing explosives; classification
13-3105, Forfeiture of weapons and explosives
13-3106, Firearm purchase in other states
13-3107, Unlawful discharge of firearms; exceptions; classification; definitions
13-3108, Firearms regulated by state; state preemption; injunction; civil penalty; cause of action; violation; classification; definition
13-3109, Sale or gift of firearm to minor; classification
13-3110, Misconduct involving simulated explosive devices; classification; definition
13-3111, Minors prohibited from carrying or possessing firearms; exceptions; seizure and forfeiture; penalties; classification
13-3112, Concealed weapons; qualification; application; permit to carry; civil penalty; report; applicability
13-3113, Adjudicated delinquents; firearm possession; classification
13-3114, Arizona manufactured firearms; regulation; definitions
13-3115, Forensics firearms identification system
13-3116, Misconduct involving body armor; classification; definition
13-3117, Remote stun guns; sales records; use; classification; definitions
13-3118," Possession, transfer or storage of firearms; restrictions prohibited; exceptions"
13-3119, Misconduct involving weapons in a secured area of an airport; classification; definitions
13-3120, Knives regulated by state; state preemption; definitions
13-3121, Firearm transfers; chief law enforcement officer certification; notification; definitions
13-3122, Unlawful use of electronic firearm tracking technology; classification; definitions
13-3201, Enticement of persons for purpose of prostitution; classification
13-3202, Procurement by false pretenses of person for purpose of prostitution; classification
13-3203, Procuring or placing persons in house of prostitution; classification
13-3204, Receiving earnings of prostitute; classification
13-3205, Causing spouse to become prostitute; classification
13-3206, Taking child for purpose of prostitution; classification
13-3207, Detention of persons in house of prostitution for debt; classification
13-3208, Keeping or residing in house of prostitution; employment in prostitution; classification
13-3209, Pandering; methods; classification
13-3210, Transporting persons for purpose of prostitution or other immoral purpose; classification; venue
13-3211, Definitions
13-3212, Child sex trafficking; classification; increased punishment; definition
13-3214, Prostitution; classification
13-3301, Definitions
13-3302, Exclusions
13-3303, Promotion of gambling; classification
13-3304, Benefiting from gambling; classification
13-3305, Betting and wagering; classification
13-3306, Possession of a gambling device; classification
13-3307, Possession of gambling records; classification
13-3308, Presumption
13-3309, Seizure; exception; definition
13-3310, Forfeiture
13-3311, Amusement gambling intellectual contests or events; registration; filing of rules; sworn statement; exceptions
13-3312, Crane games; prohibited acts; classification
13-3401, Definitions
13-3402, Possession and sale of peyote; classification
13-3403, Possession and sale of a vapor-releasing substance containing a toxic substance; regulation of sale; exceptions; classification
13-3403.01, Nitrous oxide containers; sale to minors; classification 
13-3403.02, Selling or giving nitrous oxide to underage person; illegally obtaining nitrous oxide containers by underage person; classification; definition 
13-3404, Sale of precursor or regulated chemicals; report; exemptions; violation; classification
13-3404.01," Possession or sale of precursor chemicals, regulated chemicals, substances or equipment; exceptions; classification"
13-3405," Possession, use, production, sale or transportation of marijuana; classification; exceptions"
13-3406," Possession, use, administration, acquisition, sale, manufacture or transportation of prescription-only drugs; misbranded drugs; classification; definition"
13-3407," Possession, use, administration, acquisition, sale, manufacture or transportation of dangerous drugs; classification"
13-3407.01, Manufacturing methamphetamine under circumstances that cause physical injury to a minor; classification
13-3408," Possession, use, administration, acquisition, sale, manufacture or transportation of narcotic drugs; classification"
13-3409, Involving or using minors in drug offenses; classification
13-3410, Serious drug offender; sentencing; definitions
13-3411," Possession, use, sale or transfer of marijuana, peyote, prescription drugs, dangerous drugs or narcotic drugs or manufacture of dangerous drugs in a drug free school zone; violation; classification; definitions"
13-3412, Exceptions and exemptions; burden of proof; privileged communications
13-3412.01, Prescribing controlled substances included in schedule I for seriously ill and terminally ill patients
13-3413, Forfeiture and disposition of drugs and evidence
13-3414, Convicted person's information to be sent to licensing board and the department of economic security; suspension or revocation of license or registration
13-3415," Possession, manufacture, delivery and advertisement of drug paraphernalia; definitions; violation; classification; civil forfeiture; factors"
13-3416, Probationer; payment of costs
13-3417, Use of wire communication or electronic communication in drug related transactions; classification
13-3418, Ineligibility to receive public benefits; restoration; definition
13-3419, Multiple drug offenses not committed on the same occasion; sentencing
13-3420, Unlawful substances; threshold amounts
13-3421, Using building for sale or manufacture of dangerous or narcotic drugs; fortification of a building; classification; definitions
13-3422, Drug court program; establishment; participation
13-3423, Medical assistance requests; prohibited prosecution of Good Samaritans; mitigating factor; definitions
13-3451, Definitions
13-3452, Effect of representations made in construing status of certain substances whose origin is uncertain
13-3453, Manufacture or distribution of imitation controlled substance; prohibited acts; classification
13-3454, Manufacture or distribution of imitation prescription-only drug; prohibited acts; classification
13-3455, Manufacture or distribution of imitation over-the-counter drug; prohibited acts; classification
13-3456, Possession or possession with intent to use imitation controlled substance; violation; classification
13-3457, Possession or possession with intent to use an imitation prescription-only drug; violation; classification
13-3458, Possession or possession with intent to use an imitation over-the-counter drug; violation; classification
13-3459, Manufacture of certain substances and drugs by certain means; prohibited acts; classification
13-3460, Civil forfeiture
13-3461, Placebos; exemption from coverage
13-3501, Definitions
13-3502," Production, publication, sale, possession and presentation of obscene items; classification"
13-3503, Seizure of obscene things; disposition
13-3504, Coercing acceptance of obscene articles or publications; classification
13-3505, Obscene prints and articles; jurisdiction
13-3506, Furnishing harmful items to minors; applicability; classification
13-3506.01, Furnishing harmful items to minors; internet activity; classification; definitions
13-3507, Public display of explicit sexual materials; classification; definitions
13-3509, Duty to report; classification
13-3510, Evidence of obscenity
13-3511, Exemption; broadcasts and telecasts
13-3512, Obscene or indecent telephone communications to minors for commercial purposes; violation; classification
13-3513, Sale or distribution of material harmful to minors through vending machines; classification
13-3551, Definitions
13-3552, Commercial sexual exploitation of a minor; classification
13-3553, Sexual exploitation of a minor; evidence; classification
13-3554, Luring a minor for sexual exploitation; classification
13-3555, Portraying adult as minor; classification
13-3556, Permissible inferences
13-3557, Equipment; forfeiture
13-3558, Admitting minors to public displays of sexual conduct; constructive knowledge of age; classification
13-3559, Reporting suspected visual depictions of sexual exploitation of a minor; immunity
13-3560, Aggravated luring a minor for sexual exploitation; classification; definitions
13-3561, Unlawful age misrepresentation; classification; definition
13-3562, Notice to communication service provider of website hosting alleged sexual exploitation of children
13-3601, Domestic violence; definition; classification; sentencing option; arrest and procedure for violation; weapon seizure
13-3601.01, Domestic violence; treatment; definition
13-3601.02, Aggravated domestic violence; classification; definition
13-3602, Order of protection; procedure; contents; arrest for violation; penalty; protection order from another jurisdiction; definition
13-3603, Definition; punishment
13-3603.01, Partial-birth abortions; classification; civil action; definitions
13-3603.02, Abortion; sex and race selection; injunctive and civil relief; failure to report; definition
13-3604, Soliciting abortion; punishment; exception
13-3605, Advertising to produce abortion or prevent conception; punishment
13-3606, Bigamy; classification; exception
13-3607, Marrying spouse of another; classification
13-3608, Incest; classification
13-3609, Child bigamy; classification; definitions
13-3610, Abandonment of spouse; classification
13-3611, Refusal or neglect to provide for spouse; classification
13-3612, Definitions; contributing to dependency or delinquency
13-3613, Contributing to delinquency and dependency; classification; procedure
13-3614, Proof of guilt
13-3615, Suspension of sentence upon posting bond; custody of child; revocation of suspension
13-3616, Conditions of bond; forfeiture; disposition of proceeds recovered
13-3617, Limitation on period of suspension or stay; discharge of defendant
13-3618, Construction and effect of chapter
13-3619," Permitting life, health or morals of minor to be imperiled by neglect, abuse or immoral associations; classification"
13-3620," Duty to report abuse, physical injury, neglect and denial or deprivation of medical or surgical care or nourishment of minors; medical records; exception; violation; classification; definitions"
13-3620.01, False reports; violation; classification
13-3621, Hire or use of child under sixteen for public vocation; classification
13-3622," Furnishing of tobacco product, vapor product or tobacco or shisha instruments or paraphernalia to minor; minor accepting or receiving tobacco product, vapor product or tobacco or shisha instruments or paraphernalia; illegally obtaining tobacco product, vapor product or tobacco or shisha instruments or paraphernalia by underage person; classification; definitions"
13-3623, Child or vulnerable adult abuse; emotional abuse; classification; exceptions; definitions
13-3623.01, Safe haven for newborn infants; definitions
13-3624, Emergency orders of protection
13-3625, Unlawful sale or purchase of children; classification
13-3701, Unlawful use of food stamps; classification; definitions
13-3702," Defacing or damaging petroglyphs, pictographs, caves or caverns; classification"
13-3702.01, Excavating certain sites; collecting certain specimens; classification
13-3703, Abuse of venerated objects; classification
13-3704," Adding poison or other harmful substance to food, drink or medicine; classification"
13-3705, Unlawful copying or sale of sounds or images from recording devices; true name and address of articles; definitions; classification
13-3706, Failure to procure or exhibit a business license; classification
13-3707, Telecommunication fraud; classification; definitions
13-3708, Sale or transfer of motor vehicle; lien disclosure; classification
13-3709," Obtaining cable television and video services fraudulently; manufacturing, distributing and selling unauthorized decoding devices; classification; definition"
13-3710," Obtaining subscription television services; manufacture, distribution and sale of interception and decoding devices; violation; classification; civil remedy; punitive damages"
13-3711, Unlawful commercial use of cigarette machines; civil penalties; forfeiture; classification
13-3712, Interruption of or injury to cable television and video systems; classification
13-3713," Consideration for referral of patient, client or customer; fraud; violation; classification"
